Airport Identifier,FBO Name,City,State,0 - Jet A Retail,1 - CAA Price 1-500,2 - CAA Price 501-1000,3 - CAA Price 1001-1500,4 - CAA Price 1501-2000,5 - CAA Price 2001-2500,6 - CAA Price 2501 or more,7 - CAA Price 3501-4500,8 - CAA Price 4501-5500,9 - CAA Price 5501 or more
KSUW,"Superior Flying Services, LLC",Superior,WI,5.45,3.94,3.94,3.84,3.84,3.84,3.84,,,
KUES,"Stein's Aircraft Services, LLC",Waukesha,WI,6.14,4.05,4.00,3.95,3.90,3.85,3.80,,,
KCKB,V1 Aviation,Bridgeport,WV,5.55,5.20,4.92,4.65,4.65,4.65,4.65,,,
KMRB,MRB Aviation,Martinsburg,WV,5.99,4.66,4.56,4.46,4.46,4.46,4.46,,,
KAFO,Eagle Jet Center,Afton,WY,6.39,4.43,4.43,4.43,4.43,4.43,4.43,,,
KBPI,Joint Big Piney,Marbleton,WY,5.04,3.92,3.92,3.92,3.92,3.92,3.92,,,
KCOD,Beacon Air Group,Cody,WY,5.17,4.06,4.06,4.06,4.06,4.06,4.06,,,
KCPR,Aero Center,Casper,WY,6.98,5.06,4.76,4.76,4.76,4.76,4.76,,,
KCYS,Legend AeroServe,Cheyenne,WY,5.96,4.44,4.44,4.44,4.44,4.44,4.44,,,
KEVW,Evanston Aviation,Evanston,WY,5.26,4.56,4.51,4.41,4.41,4.41,4.41,,,
KPNA,Top Flight,Pinedale,WY,5.25,4.05,4.05,4.05,4.05,4.05,4.05,,,
KWRL,Hellyer Aviation,Worland,WY,4.95,4.47,4.27,4.27,4.27,4.27,4.27,,,
EDDL,Jet Aviation,Düsseldorf,,9.40,8.64,8.64,8.64,8.64,8.64,8.64,,,
EGGD,Centreline,Bristol,,3.91,3.70,3.70,3.70,3.70,3.70,3.70,,,
EGGW,Signature Aviation,Luton,,4.86,3.75,3.75,3.63,3.63,3.52,3.52,,,
EGSS,Inflite the Jet Centre,Stansted,,3.15,2.80,2.80,2.80,2.80,2.80,2.80,,,
EHAM,Jet Aviation,Schiphol,,8.11,7.02,7.02,7.02,7.02,7.02,7.02,,,
EINN,Signature Aviation,Shannon,,3.92,3.52,3.44,3.44,3.37,3.37,3.37,,,
LSGG,Jet Aviation,Geneva,,8.63,7.83,7.83,7.83,7.83,7.83,7.83,,,
LSZH,Jet Aviation,Zurich,,10.71,9.74,9.74,9.74,9.74,9.74,9.74,,,
MBPV,Business Aviation Ltd,Providenciales,,5.41,4.41,4.38,4.38,4.38,4.26,4.26,,,
